"epoch","rs_1_09 - _step","rs_1_09 - rouge_L_f1","rs_1_08 - _step","rs_1_08 - rouge_L_f1","rs_1_13 - _step","rs_1_13 - rouge_L_f1","rs_1_12 - _step","rs_1_12 - rouge_L_f1","rs_1_11 - _step","rs_1_11 - rouge_L_f1","rs_1_10 - _step","rs_1_10 - rouge_L_f1","rs_1_07 - _step","rs_1_07 - rouge_L_f1","rs_1_06 - _step","rs_1_06 - rouge_L_f1","rs_1_05 - _step","rs_1_05 - rouge_L_f1","rs_1_04 - _step","rs_1_04 - rouge_L_f1"
"19","undefined","undefined","47079","0.5931001721079862","376311","0.5537928145579905","188173","0.37715113787298626","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","23557","0.5677432787461459","47079","0.5141996652162376"
"20","undefined","undefined","49557","0.5948534075877828","396117","0.5547417323305921","198077","0.3839078172837872","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","24797","0.5743548650463375","49557","0.5151371963912221"
"21","undefined","undefined","52035","0.5955588549182308","415923","0.5559689296897667","207981","0.39053350994561103","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","26037","0.5801865887690507","52035","0.5157111105084587"
"22","undefined","undefined","54513","0.5968151793229908","435729","0.5352118450157556","217885","0.3961199901162565","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","27277","0.5862236518222044","54513","0.5164914579931155"
"23","undefined","undefined","56991","0.5984442753427123","455535","0.5110877755332653","227789","0.40169290685123893","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","28517","0.5914612409854337","56991","0.5176679838644801"
"24","undefined","undefined","59469","0.5994716322450693","475341","0.49806589358645953","237693","0.40682014411104295","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","29757","0.59649427674711","59469","0.5182771330276074"
"25","undefined","undefined","61947","0.6001887701418951","495147","0.513507853720986","247597","0.4113855253681728","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","30997","0.6015894250420828","61947","0.5190180362654332"
"26","undefined","undefined","64425","0.6009161292989429","undefined","undefined","257501","0.4164140901763682","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","32237","0.6061558959799884","64425","0.5191696447053946"
"27","undefined","undefined","66903","0.6015526620370368","undefined","undefined","267405","0.4200444016524777","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","33477","0.6102142527825101","66903","0.5200378361905357"
"28","undefined","undefined","69381","0.602500586219337","undefined","undefined","277309","0.42407535562567306","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","34717","0.6143833046903896","69381","0.5209948837025077"
"29","undefined","undefined","71859","0.6032108322811461","undefined","undefined","287213","0.4281313233105509","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","35957","0.6182159973737694","71859","0.5214467805710707"
"30","undefined","undefined","74337","0.6036787442881185","undefined","undefined","297117","0.4320429227618192","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","37197","0.6218566505710628","74337","0.5215372003662736"
"31","undefined","undefined","76815","0.604858097342473","undefined","undefined","307021","0.435363204490692","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","38437","0.6253325375754887","76815","0.5220123187874128"
"32","undefined","undefined","79293","0.6054305781024527","undefined","undefined","316925","0.43854262857046516","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","39677","0.6280408293966495","79293","0.5222459579649441"
"33","undefined","undefined","81771","0.6055135055916301","undefined","undefined","326829","0.4420066707390904","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","40917","0.6319084067738829","81771","0.5227552496342737"
"34","undefined","undefined","84249","0.6063269751082248","undefined","undefined","336733","0.44523643763919424","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","42157","0.634895931303887","84249","0.5225678040744327"
"35","undefined","undefined","86727","0.6068309132996629","undefined","undefined","346637","0.4477139020595015","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","43397","0.634923063565081","86727","0.5229560269889345"
"36","undefined","undefined","89205","0.6073067580567579","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","44637","0.6399616320428713","89205","0.5237760752943039"
"37","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","45877","0.6431089902901432","undefined","undefined"
"38","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","47117","0.645767937191635","undefined","undefined"
"39","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","48357","0.6481054957944303","undefined","undefined"
"40","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","49597","0.6504601994718741","undefined","undefined"
